"name","game_number","minutes_played","field_goals_made","field_goals_attempted","field_goal_percentage","three_points_made","three_points_attempted","three_point_percentage","free_throws_made","free_throws_attempted","free_throw_percentage","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points","plus_minus"
Hamidou Diallo,57,21,3,7,0.429,0,0,,4,4,1.0,1,5,6,1,1,1,0,2,10,-13
Hamidou Diallo,58,16,2,9,0.222,0,1,0.0,2,2,1.0,1,3,4,3,0,0,0,1,6,-5
Hamidou Diallo,59,21,7,11,0.636,3,3,1.0,4,4,1.0,1,5,6,1,2,0,2,2,21,9
Hamidou Diallo,60,10,3,5,0.6,0,1,0.0,0,0,,0,1,1,1,1,0,3,1,6,-1
Hamidou Diallo,61,24,6,13,0.462,0,2,0.0,1,2,0.5,2,4,6,3,3,0,1,3,13,-2
Hamidou Diallo,62,19,3,8,0.375,0,3,0.0,0,1,0.0,0,2,2,0,1,0,1,0,6,-7
Hamidou Diallo,63,15,3,6,0.5,0,0,,5,8,0.625,2,2,4,0,1,0,1,2,11,-9
Hamidou Diallo,64,12,2,5,0.4,0,1,0.0,1,2,0.5,0,3,3,3,0,0,0,3,5,-5
Hamidou Diallo,66,14,5,8,0.625,0,0,,0,0,,1,3,4,1,2,0,0,1,10,16
Carsen Edwards,1,30,5,15,0.333,2,6,0.333,1,1,1.0,1,2,3,9,2,0,1,3,13,-3
Carsen Edwards,2,9,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,1,0,0,0
Carsen Edwards,3,13,2,4,0.5,1,3,0.333,0,0,,0,2,2,1,0,0,0,1,5,6
Carsen Edwards,4,25,2,9,0.222,1,5,0.2,0,0,,1,0,1,4,0,0,3,0,5,-15
Luka Garza,2,6,1,2,0.5,0,1,0.0,1,2,0.5,1,1,2,1,2,0,0,1,3,10
Luka Garza,3,12,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,0,1,1,4,2,-22
Luka Garza,4,4,2,4,0.5,2,3,0.667,0,0,,0,0,0,0,0,0,0,2,6,-9
Luka Garza,6,8,0,1,0.0,0,1,0.0,2,2,1.0,1,0,1,0,1,0,0,1,2,-4
Luka Garza,7,7,1,3,0.333,0,0,,1,1,1.0,1,0,1,0,1,0,1,2,3,-4
Luka Garza,11,13,2,4,0.5,0,1,0.0,1,1,1.0,1,1,2,2,1,0,0,0,5,4
Luka Garza,13,17,2,4,0.5,1,2,0.5,0,0,,3,4,7,1,0,0,0,2,5,-4
Luka Garza,15,7,1,3,0.333,1,2,0.5,0,0,,0,0,0,1,0,0,0,1,3,-8
Luka Garza,17,17,3,5,0.6,1,1,1.0,0,0,,1,2,3,2,0,0,1,5,7,-6
Luka Garza,18,22,2,7,0.286,0,2,0.0,2,2,1.0,2,3,5,0,0,0,0,1,6,-22
Luka Garza,19,10,2,3,0.667,0,0,,1,2,0.5,1,2,3,0,0,0,0,0,5,12
Luka Garza,21,3,0,0,,0,0,,2,2,1.0,0,0,0,0,1,0,1,1,2,-1
Luka Garza,22,4,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,2,1,-1
Luka Garza,23,4,1,4,0.25,0,0,,0,0,,3,1,4,0,0,0,0,2,2,-4
